mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
66	66	521/2	4.0	-3	2/2	1	0				line		67
67	67	529/2	4.0	-3	2/2	1	0						68
68	68	537/2	4.0	-3	2/2	1	0						69
69	69	545/2	4.0	-3	2/2	1	0						70
70	70	553/2	4.0	-3	2/2	1	0				line		71
71	71	561/2	4.0	-3	2/2	1	0						72
72	72	569/2	4.0	-3	2/2	1	0						73
73	73	577/2	4.0	-3	2/2	1	0						74
74	74	585/2	4.0	-3	2/2	1	0				line		75
75	75	593/2	4.0	-3	2/2	1	0						76
76	76	601/2	4.0	-3	2/2	1	0						77
77	77	609/2	4.0	-3	2/2	1	0						78
78	78	617/2	4.0	-3	2/2	1	0						79
79	79	625/2	4.0	-3	2/2	1	0						80
80	80	633/2	4.0	-3	2/2	1	0						81
81	81	641/2	4.0	-3	2/2	1	0						82
82	82	649/2	4.0	-3	2/2	1	0						83
83	83	657/2	4.0	-3	2/2	1	0						84
84	84	665/2	4.0	-3	2/2	1	0				line		85
85	85	673/2	4.0	-3	2/2	1	0						86
86	86	681/2	4.0	-3	2/2	1	0						87
87	87	689/2	4.0	-3	2/2	1	0						88
88	88	697/2	4.0	-3	2/2	1	0						89
89	89	705/2	4.0	-3	2/2	1	0						90
90	90	713/2	4.0	-3	2/2	1	0				line		91
91	91	721/2	4.0	-3	2/2	1	0						92
92	92	729/2	4.0	-3	2/2	1	0						93
93	93	737/2	4.0	-3	2/2	1	0						94
94	94	745/2	4.0	-3	2/2	1	0						95
95	95	753/2	4.0	-3	2/2	1	0						96
96	96	761/2	4.0	-3	2/2	1	0				line		97
97	97	769/2	4.0	-3	2/2	1	0						98
98	98	777/2	4.0	-3	2/2	1	0						99
99	99	785/2	4.0	-3	2/2	1	0						100
100	100	793/2	4.0	-3	2/2	1	0						101
101	101	801/2	4.0	-3	2/2	1	0						102
102	102	809/2	4.0	-3	2/2	1	0				line		103
103	103	817/2	4.0	-3	2/2	1	0						104
104	104	825/2	4.0	-3	2/2	1	0						105
105	105	833/2	4.0	-3	2/2	1	0						106
106	106	841/2	4.0	-3	2/2	1	0						107
