mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
35	35	35	35a	69	69	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	204
35	35	35	35a	69	69	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		2	62	D4	4	201
35	35	35	35a	69	69	1.0	1/4	1/4	2/4	22	2	1/4	1/4	1		3	69	A4	4	198
35	35	35	35a	69	69	1.0	1/4	1/4	2/4	22	1	1/4	1/4	1		0	72	C5	5	196
35	35	35	35a	139/2	139/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	202
36	36	36	36a	70	70	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	221
36	36	36	36a	70	70	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	219
36	36	36	36a	70	70	0.5	0	0	2/4	23	1	1/8	1/8	1		2	62	D4	4	215
36	36	36	36a	70	70	1.0	0	0	2/4	22	2	1/4	1/4	1		1	67	G4	4	213
36	36	36	36a	70	70	1.0	0	0	2/4	22	1	1/4	1/4	1		5	71	B4	4	211
36	36	36	36a	70	70	1.0	0	0	2/4	3	1	1/4	1/4	1	-1	2	74	D5	5	207
36	36	36	36a	70	70	2.0	0	0	2/4	4	1	1/2	1/2	1	0	2	74	D5	5	210
36	36	36	36a	141/2	141/2	0.5	1/8	1/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	216
36	36	36	36a	71	71	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	222
36	36	36	36a	71	71	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	220
36	36	36	36a	71	71	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		2	62	D4	4	217
36	36	36	36a	71	71	1.0	1/4	1/4	2/4	22	2	1/4	1/4	1		2	62	D4	4	214
36	36	36	36a	71	71	1.0	1/4	1/4	2/4	22	1	1/4	1/4	1		3	69	A4	4	212
36	36	36	36a	71	71	0.5	1/4	1/4	2/4	3	1	1/8	1/8	1		4	76	E5	5	208
36	36	36	36a	143/2	143/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	218
36	36	36	36a	143/2	143/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		6	78	F#5	5	209
37	37	37	37a	72	72	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	236
37	37	37	37a	72	72	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	234
37	37	37	37a	72	72	1.0	0	0	2/4	22	2	1/4	1/4	1		5	59	B3	3	228
37	37	37	37a	72	72	0.5	0	0	2/4	23	1	1/8	1/8	1		2	62	D4	4	230
37	37	37	37a	72	72	1.0	0	0	2/4	22	1	1/4	1/4	1		1	67	G4	4	225
37	37	37	37a	72	72	2.0	0	0	2/4	4	1	1/2	1/2	1	0	2	74	D5	5	224
37	37	37	37a	72	72	2.0	0	0	2/4	3	1	1/2	1/2	1		1	79	G5	5	223
37	37	37	37a	145/2	145/2	0.5	1/8	1/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	231
37	37	37	37a	73	73	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	237
37	37	37	37a	73	73	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	235
37	37	37	37a	73	73	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		2	62	D4	4	232
37	37	37	37a	73	73	1.0	1/4	1/4	2/4	22	2	1/4	1/4	1	1	1	67	G4	4	229
37	37	37	37a	73	73	0.5	1/4	1/4	2/4	22	1	1/8	1/8	1		3	69	A4	4	226
37	37	37	37a	147/2	147/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	233
37	37	37	37a	147/2	147/2	0.5	3/8	3/8	2/4	22	1	1/8	1/8	1		5	71	B4	4	227
38	38	38	38a	74	74	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	251
38	38	38	38a	74	74	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	249
38	38	38	38a	74	74	0.5	0	0	2/4	23	1	1/8	1/8	1		2	62	D4	4	245
38	38	38	38a	74	74	0.5	0	0	2/4	22	2	1/8	1/8	1	-1	1	67	G4	4	241
38	38	38	38a	74	74	2.0	0	0	2/4	22	1	1/2	1/2	1		0	72	C5	5	240
38	38	38	38a	74	74	2.0	0	0	2/4	4	1	1/2	1/2	1	0	2	74	D5	5	239
38	38	38	38a	74	74	2.0	0	0	2/4	3	1	1/2	1/2	1		3	81	A5	5	238
