mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	Trill:trill	crescendo_line	HairPin:2_sempre cresc.	HairPin:2_cresc. sempre	HairPin:2_sempre crescendo	HairPin:2_(cresc.)	diminuendo_line	HairPin:3_sempre diminuendo	HairPin:3_(dim.)	HairPin:3_dimin.	crescendo_hairpin	decrescendo_hairpin
30	30	58	58	2.0	0	0	Chord	2/4	22	1	1/2	1/2	1	168									23												
30	30	58	58	1.0	0	0	Chord	2/4	24	1	1/4	1/4	1	169			articStaccatissimoAbove													6					
30	30	58	58	1.0	0	0	Chord	2/4	25	1	1/4	1/4	1	170			articStaccatissimoAbove													7					
31	31	60	60	2.0	0	0	Chord	2/4	21	1	1/2	1/2	1	171									24												
31	31	60	60	2.0	0	0	Chord	2/4	22	1	1/2	1/2	1	172									23												
31	31	60	60	0.0	0	0	Dynamic	2/4	24	1	0					ppp																			
31	31	60	60	0.0	0	0	Spanner	2/4	24	1	0																								
31	31	60	60	1.0	0	0	Chord	2/4	24	1	1/4	1/4	1	173									25												
31	31	61	61	0.5	1/4	1/4	Chord	2/4	24	1	1/8	1/8	1	174									25												
31	31	123/2	123/2	0.5	3/8	3/8	Chord	2/4	24	1	1/8	1/8	1	175									25												
31	31	60	60	0.0	0	0	Dynamic	2/4	25	1	0					ppp																			
31	31	60	60	0.0	0	0	Spanner	2/4	25	1	0																								
31	31	60	60	1.0	0	0	Chord	2/4	25	1	1/4	1/4	1	176									26												
31	31	61	61	0.5	1/4	1/4	Chord	2/4	25	1	1/8	1/8	1	177									26												
31	31	123/2	123/2	0.5	3/8	3/8	Chord	2/4	25	1	1/8	1/8	1	178									26												
32	32	62	62	1.0	0	0	Chord	2/4	21	1	1/4	1/4	1	179			articStaccatissimoAbove																		
32	32	62	62	1.0	0	0	Chord	2/4	22	1	1/4	1/4	1	180			articStaccatissimoAbove																		
32	32	62	62	1.0	0	0	Chord	2/4	24	1	1/4	1/4	1	181			articStaccatissimoAbove																		
32	32	62	62	1.0	0	0	Chord	2/4	25	1	1/4	1/4	1	182			articStaccatissimoAbove																		
33	33	64	64	0.0	0	0	Dynamic	2/4	24	1	0					p																			
33	33	64	64	1.0	0	0	Chord	2/4	24	1	1/4	1/4	1	183			articStaccatissimoAbove																		
33	33	65	65	1.0	1/4	1/4	Chord	2/4	24	1	1/4	1/4	1	184			articStaccatissimoAbove																		
33	33	64	64	0.0	0	0	Dynamic	2/4	25	1	0					p																			
33	33	64	64	1.0	0	0	Chord	2/4	25	1	1/4	1/4	1	185			articStaccatissimoAbove																		
33	33	65	65	1.0	1/4	1/4	Chord	2/4	25	1	1/4	1/4	1	186			articStaccatissimoAbove																		
34	34	66	66	0.0	0	0	StaffText	2/4	22	1	0							divisi																	
34	34	67	67	1.0	1/4	1/4	Chord	2/4	22	1	1/4	1/4	1	187	a		articAccentAbove																		
34	34	67	67	0.0	1/4	1/4	Dynamic	2/4	22	2	0					p																			
34	34	67	67	1.0	1/4	1/4	Chord	2/4	22	2	1/4	1/4	1	188			articAccentBelow																		
34	34	66	66	1.0	0	0	Chord	2/4	24	1	1/4	1/4	1	189			articStaccatissimoAbove																		
34	34	67	67	1.0	1/4	1/4	Chord	2/4	24	1	1/4	1/4	1	190			articStaccatissimoAbove																		
34	34	66	66	1.0	0	0	Chord	2/4	25	1	1/4	1/4	1	191			articStaccatissimoAbove																		
34	34	67	67	1.0	1/4	1/4	Chord	2/4	25	1	1/4	1/4	1	192			articStaccatissimoAbove																		
35	35	68	68	0.0	0	0	Dynamic	2/4	3	1	0					p																			
35	35	68	68	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	193	a								27												
35	35	68	68	0.0	0	0	Dynamic	2/4	4	1	0					p																			
35	35	68	68	2.0	0	0	Chord	2/4	4	1	1/2	1/2	1	194																					
35	35	68	68	1.0	0	0	Chord	2/4	22	1	1/4	1/4	1	195			articStaccatissimoBelow																		
35	35	69	69	1.0	1/4	1/4	Chord	2/4	22	1	1/4	1/4	1	196			articStaccatissimoBelow																		
