mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
24	21	127/2	127/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	213												
24	21	64	64	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	214												
24	21	123/2	123/2	0.0	0	0	FiguredBass	6/8	2	1	0												1/8	5/			
24	21	123/2	123/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	215												37
24	21	62	62	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	216												37
24	21	125/2	125/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	217												
24	21	63	63	0.0	3/8	3/8	FiguredBass	6/8	2	1	0												1/4	6	4		
24	21	63	63	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	218												
25	22	129/2	129/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	219												
25	22	65	65	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	220												
25	22	131/2	131/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	221												
25	22	66	66	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	222												
25	22	133/2	133/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	223												
25	22	67	67	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	224												
25	22	129/2	129/2	0.0	0	0	FiguredBass	6/8	2	1	0												1/4	4+			
25	22	129/2	129/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	225												
25	22	66	66	0.0	3/8	3/8	FiguredBass	6/8	2	1	0												1/8	6			
25	22	66	66	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	226												38
25	22	133/2	133/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	227												38
25	22	67	67	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	228												
26	23	135/2	135/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	229												
26	23	68	68	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	230												
26	23	137/2	137/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	231												
26	23	69	69	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	232												
26	23	139/2	139/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	233												
26	23	70	70	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	234												
26	23	135/2	135/2	0.0	0	0	FiguredBass	6/8	2	1	0												1/8	6			
26	23	135/2	135/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	235												39
