mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
19	16	187/4	187/4	0.25	1/16	1/16	6/8	1	1	1/16		1/16	1		-2	70	Bb4	4	163
19	16	47	47	0.25	1/8	1/8	6/8	1	1	1/16		1/16	1		3	69	A4	4	164
19	16	189/4	189/4	0.25	3/16	3/16	6/8	1	1	1/16		1/16	1		1	67	G4	4	165
19	16	95/2	95/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		3	45	A2	2	169
19	16	95/2	95/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		-1	65	F4	4	166
19	16	48	48	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	170
19	16	48	48	1.0	3/8	3/8	6/8	1	1	1/4		1/4	1		-1	77	F5	5	167
19	16	97/2	97/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		1	55	G3	3	171
19	16	49	49	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		-1	53	F3	3	172
20	17	99/2	99/2	0.5	0	0	6/8	2	1	1/8		1/8	1		0	60	C4	4	175
20	17	99/2	99/2	1.0	0	0	6/8	1	1	1/4		1/4	1		4	76	E5	5	173
20	17	50	50	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		2	62	D4	4	176
20	17	101/2	101/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		4	64	E4	4	177
20	17	51	51	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		-1	65	F4	4	178
20	17	51	51	1.0	3/8	3/8	6/8	1	1	1/4		1/4	1		2	74	D5	5	174
20	17	103/2	103/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		1	67	G4	4	179
20	17	52	52	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		-1	65	F4	4	180
21	18	105/2	105/2	0.5	0	0	6/8	2	1	1/8		1/8	1		4	64	E4	4	187
21	18	105/2	105/2	0.5	0	0	6/8	1	1	1/8		1/8	1		0	72	C5	5	181
21	18	53	53	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		-1	65	F4	4	188
21	18	53	53	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		2	74	D5	5	182
21	18	107/2	107/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		4	64	E4	4	189
21	18	107/2	107/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		4	76	E5	5	183
21	18	54	54	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		2	62	D4	4	190
21	18	54	54	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		-1	77	F5	5	184
21	18	109/2	109/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		4	64	E4	4	191
21	18	109/2	109/2	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		1	79	G5	5	185
21	18	55	55	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		2	62	D4	4	192
21	18	55	55	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		-1	77	F5	5	186
22	19	111/2	111/2	1.0	0	0	6/8	2	1	1/4		1/4	1		0	60	C4	4	199
22	19	111/2	111/2	0.5	0	0	6/8	1	1	1/8		1/8	1		4	76	E5	5	193
22	19	56	56	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		-1	77	F5	5	194
22	19	113/2	113/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		-1	53	F3	3	200
22	19	113/2	113/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		4	76	E5	5	195
22	19	57	57	0.0	3/8	3/8	6/8	1	1	0	grace16after	1/16	1		2	74	D5	5	196
22	19	57	57	0.0	3/8	3/8	6/8	1	1	0	grace16after	1/16	1		0	72	C5	5	197
22	19	57	57	1.0	3/8	3/8	6/8	2	1	1/4		1/4	1		1	55	G3	3	201
22	19	57	57	1.5	3/8	3/8	6/8	1	1	3/8		1/4	3/2		2	74	D5	5	198
22	19	58	58	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		1	43	G2	2	202
23	20	117/2	117/2	0.5	0	0	6/8	2	1	1/8		1/8	1		0	48	C3	3	205
23	20	117/2	117/2	1.0	0	0	6/8	1	1	1/4		1/4	1		0	72	C5	5	203
23	20	59	59	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		0	60	C4	4	206
