mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
141	132	206	132a	773	4.0	-3	2/2	1	0							142
142	133	207	133a	777	4.0	-3	2/2	1	0							143
143	134	208	134a	781	4.0	-3	2/2	1	0							144
144	135	209	135a	785	4.0	-3	2/2	1	0							145
145	136	210	136a	789	4.0	-3	2/2	1	0							146
146	137	211	137a	793	4.0	-3	2/2	1	0							147
147	138	212	138a	797	4.0	-3	2/2	1	0							148
148	139	213	139a	801	4.0	-3	2/2	1	0							149
149	140	214	140a	805	4.0	-3	2/2	1	0							150
150	141	215	141a	809	4.0	-3	2/2	1	0							151
151	142	216	142a	813	4.0	-3	2/2	1	0							152
152	143	217	143a	817	4.0	-3	2/2	1	0							153
153	144	218	144a	821	4.0	-3	2/2	1	0							154
154	145	219	145a	825	4.0	-3	2/2	1	0							155
155	146	220	146a	829	4.0	-3	2/2	1	0							156
156	147	221	147a	833	4.0	-3	2/2	1	0							157
157	148	222	148a	837	4.0	-3	2/2	1	0							158
158	149	223	149a	841	4.0	-3	2/2	1	0							159
159	150	224	150a	845	4.0	-3	2/2	1	0							160
160	151	225	151a	849	4.0	-3	2/2	1	0							161
161	152	226	152a	853	4.0	-3	2/2	1	0							162
162	153	227	153a	857	4.0	-3	2/2	1	0							163
163	154	228	154a	861	4.0	-3	2/2	1	0							164
164	155	229	155a	865	4.0	-3	2/2	1	0							165
165	156	230	156a	869	4.0	-3	2/2	1	0							166
166	157	231	157a	873	4.0	-3	2/2	1	0							167
167	158	232	158a	877	4.0	-3	2/2	1	0							168
168	159	233	159a	881	4.0	-3	2/2	1	0							169
169	160	234	160a	885	4.0	-3	2/2	1	0							170
170	161	235	161a	889	4.0	-3	2/2	1	0							171
171	162	236	162a	893	4.0	-3	2/2	1	0							172
172	163	237	163a	897	4.0	-3	2/2	1	0							173
173	164	238	164a	901	4.0	-3	2/2	1	0							174
174	165	239	165a	905	4.0	-3	2/2	1	0							175
175	166	240	166a	909	4.0	-3	2/2	1	0							176
176	167	241	167a	913	4.0	-3	2/2	1	0							177
177	168	242	168a	917	4.0	-3	2/2	1	0							178
178	169	243	169a	921	4.0	-3	2/2	1	0							179
179	170	244	170a	925	4.0	-3	2/2	1	0							180
180	171	245	171a	929	4.0	-3	2/2	1	0							181
181	172	246	172a	933	4.0	-3	2/2	1	0							182
182	173	247	173a	937	4.0	-3	2/2	1	0							183
183	174	248	174a	941	4.0	-3	2/2	1	0							184
184	175	249	175a	945	4.0	-3	2/2	1	0							185
185	176	250	176a	949	4.0	-3	2/2	1	0							186
